! tile     RA          DEC
! number   [rad]       [rad]
      0    0.785398    +1.558038
      1    2.356194    +1.558038
      2    3.926991    +1.558038
      3    5.497787    +1.558038
      4    0.392699    +1.545280
      5    1.178097    +1.545280
      6    1.963495    +1.545280
      7    2.748894    +1.545280
      8    3.534292    +1.545280
      9    4.319690    +1.545280
     10    5.105088    +1.545280
     11    5.890486    +1.545280
     12    0.261799    +1.532521
     13    0.785398    +1.532521
     14    1.308997    +1.532521
     15    1.832596    +1.532521
     16    2.356194    +1.532521
     17    2.879793    +1.532521
     18    3.403392    +1.532521
     19    3.926991    +1.532521
     20    4.450590    +1.532521
     21    4.974188    +1.532521
     22    5.497787    +1.532521
     23    6.021386    +1.532521
     24    0.196350    +1.519760
     25    0.589049    +1.519760
     26    0.981748    +1.519760
     27    1.374447    +1.519760
     28    1.767146    +1.519760
     29    2.159845    +1.519760
     30    2.552544    +1.519760
     31    2.945243    +1.519760
     32    3.337942    +1.519760
     33    3.730641    +1.519760
     34    4.123340    +1.519760
     35    4.516039    +1.519760
     36    4.908739    +1.519760
     37    5.301438    +1.519760
     38    5.694137    +1.519760
     39    6.086836    +1.519760
     40    0.157080    +1.506997
     41    0.471239    +1.506997
     42    0.785398    +1.506997
     43    1.099557    +1.506997
     44    1.413717    +1.506997
     45    1.727876    +1.506997
     46    2.042035    +1.506997
     47    2.356194    +1.506997
     48    2.670354    +1.506997
     49    2.984513    +1.506997
     50    3.298672    +1.506997
     51    3.612832    +1.506997
     52    3.926991    +1.506997
     53    4.241150    +1.506997
     54    4.555309    +1.506997
     55    4.869469    +1.506997
     56    5.183628    +1.506997
     57    5.497787    +1.506997
     58    5.811946    +1.506997
     59    6.126106    +1.506997
     60    0.130900    +1.494231
     61    0.392699    +1.494231
     62    0.654498    +1.494231
     63    0.916298    +1.494231
     64    1.178097    +1.494231
     65    1.439897    +1.494231
     66    1.701696    +1.494231
     67    1.963495    +1.494231
     68    2.225295    +1.494231
     69    2.487094    +1.494231
     70    2.748894    +1.494231
     71    3.010693    +1.494231
     72    3.272492    +1.494231
     73    3.534292    +1.494231
     74    3.796091    +1.494231
     75    4.057891    +1.494231
     76    4.319690    +1.494231
     77    4.581489    +1.494231
     78    4.843289    +1.494231
     79    5.105088    +1.494231
     80    5.366887    +1.494231
     81    5.628687    +1.494231
     82    5.890486    +1.494231
     83    6.152286    +1.494231
     84    0.112200    +1.481462
     85    0.336599    +1.481462
     86    0.560999    +1.481462
     87    0.785398    +1.481462
     88    1.009798    +1.481462
     89    1.234197    +1.481462
     90    1.458597    +1.481462
     91    1.682996    +1.481462
     92    1.907396    +1.481462
     93    2.131795    +1.481462
     94    2.356194    +1.481462
     95    2.580594    +1.481462
     96    2.804993    +1.481462
     97    3.029393    +1.481462
     98    3.253792    +1.481462
     99    3.478192    +1.481462
    100    3.702591    +1.481462
    101    3.926991    +1.481462
    102    4.151390    +1.481462
    103    4.375790    +1.481462
    104    4.600189    +1.481462
    105    4.824589    +1.481462
    106    5.048988    +1.481462
    107    5.273388    +1.481462
    108    5.497787    +1.481462
    109    5.722187    +1.481462
    110    5.946586    +1.481462
    111    6.170986    +1.481462
    112    0.098175    +1.468690
    113    0.294524    +1.468690
    114    0.490874    +1.468690
    115    0.687223    +1.468690
    116    0.883573    +1.468690
    117    1.079922    +1.468690
    118    1.276272    +1.468690
    119    1.472622    +1.468690
    120    1.668971    +1.468690
    121    1.865321    +1.468690
    122    2.061670    +1.468690
    123    2.258020    +1.468690
    124    2.454369    +1.468690
    125    2.650719    +1.468690
    126    2.847068    +1.468690
    127    3.043418    +1.468690
    128    3.239767    +1.468690
    129    3.436117    +1.468690
    130    3.632467    +1.468690
    131    3.828816    +1.468690
    132    4.025166    +1.468690
    133    4.221515    +1.468690
    134    4.417865    +1.468690
    135    4.614214    +1.468690
    136    4.810564    +1.468690
    137    5.006913    +1.468690
    138    5.203263    +1.468690
    139    5.399612    +1.468690
    140    5.595962    +1.468690
    141    5.792311    +1.468690
    142    5.988661    +1.468690
    143    6.185011    +1.468690
    144    0.087266    +1.455913
    145    0.261799    +1.455913
    146    0.436332    +1.455913
    147    0.610865    +1.455913
    148    0.785398    +1.455913
    149    0.959931    +1.455913
    150    1.134464    +1.455913
    151    1.308997    +1.455913
    152    1.483530    +1.455913
    153    1.658063    +1.455913
    154    1.832596    +1.455913
    155    2.007129    +1.455913
    156    2.181662    +1.455913
    157    2.356194    +1.455913
    158    2.530727    +1.455913
    159    2.705260    +1.455913
    160    2.879793    +1.455913
    161    3.054326    +1.455913
    162    3.228859    +1.455913
    163    3.403392    +1.455913
    164    3.577925    +1.455913
    165    3.752458    +1.455913
    166    3.926991    +1.455913
    167    4.101524    +1.455913
    168    4.276057    +1.455913
    169    4.450590    +1.455913
    170    4.625123    +1.455913
    171    4.799655    +1.455913
    172    4.974188    +1.455913
    173    5.148721    +1.455913
    174    5.323254    +1.455913
    175    5.497787    +1.455913
    176    5.672320    +1.455913
    177    5.846853    +1.455913
    178    6.021386    +1.455913
    179    6.195919    +1.455913
    180    0.078540    +1.443132
    181    0.235619    +1.443132
    182    0.392699    +1.443132
    183    0.549779    +1.443132
    184    0.706858    +1.443132
