000101
$$  VEL-MODFILE Format 2001.09.26
$$  File was generated by UP_VELMOD at 2005.08.18-11:21:23
$$
$$  VLBI station velocities
$$  ~~~~~~~~~~~~~~~~~~~~~~~
$$
$$  Obtained from solution /tmp/2005d_3.vel
$$  Velocitites of some stations a replaced by values from /data1/save_files/itrf2000.vel
$$  They overwrote velocities from the solution.
$$  Velocities which were not estimated are taken from /lyra3/sol/2005b/2005b_apr.vel
$$
$$
$$  Modifications:
$$  Who  When        What
$$  pet  2005.12.22  Added velocities of BADARY, ZELENCHK, VERAIRIK, VERAISGK,
$$                   VERAOGSW. Set their velocity to NNR-NUVEL1A 
$$  pet  2005.12.29  Added velocity of station GEOCENTR
$$  pet  2006.01.19  Added velocity of DSS65A ( the same as DSS65 )
$$  pet  2006.03.30  Updated velocty of SINTOTU and  SINTOTU3
$$  pet  2006.09.05  Added apriori velocity of ATCA-104, CEDUNA and MOPRA --
$$                   NUVEL-NNR
$$  pet  2008.12.24  Added apriori velocity of CAMBRIDG, JODRELL2, TORUN and
$$                   WSTRB-07
$$  pet  2009.04.10  Added apriori velocity of DSS63
$$  pet  2010.09.12  Added stations ASKAP and WARKWORT   
$$  pet  2010.09.18  Added station  ATCAPN5
$$  pet  2010.11.08  Added HOBART12
$$  pet  2011.02.07  Added DSS34
$$  dad  2013.04.23  Added ARECIBO from re03fw.vex
$$
    AIRA              -26.23           -9.25          -19.39    2005d_3.vel
    ALGOPARK          -16.10           -4.10            2.60    itrf2000.vel
    ARECIBO             2.03            4.13            9.10  ! NNR-NUVEL1A
    ASKAP-29            0.0             0.0             0.0     out of blue
    ATCA-104          -33.94           -4.75           46.23    NNR-NUVEL1A
    ATCAPN5           -33.94           -4.75           46.23    NNR-NUVEL1A
    AUSTINTX          -11.50           -0.10           -9.20    2005d_3.vel
    AZORES              0.40           16.20           11.11    2005d_3.vel
    BADARY            -24.11            2.27           -5.81    NNR-NUVEL1A
    BERMUDA           -12.30           -0.97            6.71    2005d_3.vel
    BEIJING           -44.40           14.10           -1.30    v130524a
    BLKBUTTE          -14.44            9.84          -12.51    2005d_3.vel
    BLOOMIND          -12.90            1.10           -1.50    2005d_3.vel
    BR-VLBA           -13.50            2.30          -11.00    itrf2000.vel
    BREST             -13.50           18.09            8.65    2005d_3.vel
    CAMBRIDG          -12.01           17.28            9.38    NNR-NUVEL1A
    CARNUSTY          -16.40            4.30           11.10    2005d_3.vel
    CARROLGA          -14.10           -1.00            0.30    2005d_3.vel
    CHICHI10           25.16           25.65            7.63    2005d_3.vel
    CHLBOLTN          -11.77           18.50            9.92    2005d_3.vel
    CEBREROS           -9.90           20.00           11.10    from Trevor
    CEDUNA            -31.88           -7.50           62.43    rfc_2013d
    CRIMEA            -20.17           16.69            8.36    2005d_3.vel
    CTVASBAY          -14.22           -1.27            2.20    2005d_3.vel
    CTVASTJ           -14.96           -0.29            8.11    2005d_3.vel
    DAITO              26.60           12.70           16.6     NNR-NUVEL1A
    DEADMANL          -44.46          -56.34           34.94    2005d_3.vel
    DSS13             -17.50            6.44           -4.42    as DSS15
    DSS14             -17.50            6.44           -4.42    as DSS15
    DSS15             -17.50            6.44           -4.42    2005d_3.vel
